Full Label,Numeric Label,URL,Propagation Vector
0.223Cu0.95MnAs,0.223,https://www.cryst.ehu.es/magndata/index.php?this_label=0.223,"0, 0, 0"
0.224Nd0.5Tb0.5Co2,0.224,https://www.cryst.ehu.es/magndata/index.php?this_label=0.224,"0, 0, 0"
0.225Nd0.5Tb0.5Co2,0.225,https://www.cryst.ehu.es/magndata/index.php?this_label=0.225,"0, 0, 0"
0.226NdCo2,0.226,https://www.cryst.ehu.es/magndata/index.php?this_label=0.226,"0, 0, 0"
0.227NdCo2,0.227,https://www.cryst.ehu.es/magndata/index.php?this_label=0.227,"0, 0, 0"
0.228TbCo2,0.228,https://www.cryst.ehu.es/magndata/index.php?this_label=0.228,"0, 0, 0"
0.229Ba2MnSi2O7,0.229,https://www.cryst.ehu.es/magndata/index.php?this_label=0.229,"0, 0, 0"
0.230K2CoP2O7,0.23,https://www.cryst.ehu.es/magndata/index.php?this_label=0.230,"0, 0, 0"
0.231TmMn3O6,0.231,https://www.cryst.ehu.es/magndata/index.php?this_label=0.231,"0, 0, 0"
0.232TmMn3O6,0.232,https://www.cryst.ehu.es/magndata/index.php?this_label=0.232,"0, 0, 0"
0.233Mn2FeSbO6,0.233,https://www.cryst.ehu.es/magndata/index.php?this_label=0.233,"0, 0, 0"
0.234MnLaMnSbO6,0.234,https://www.cryst.ehu.es/magndata/index.php?this_label=0.234,"0, 0, 0"
0.235MnPrMnSbO6,0.235,https://www.cryst.ehu.es/magndata/index.php?this_label=0.235,"0, 0, 0"
0.236CaFe4Al8,0.236,https://www.cryst.ehu.es/magndata/index.php?this_label=0.236,"0, 0, 0"
0.237Er2Sn2O7,0.237,https://www.cryst.ehu.es/magndata/index.php?this_label=0.237,"0, 0, 0"
0.238Er2Pt2O7,0.238,https://www.cryst.ehu.es/magndata/index.php?this_label=0.238,"0, 0, 0"
0.239Ca3LiRuO6,0.239,https://www.cryst.ehu.es/magndata/index.php?this_label=0.239,"0, 0, 0"
0.240Er2Cu2O5,0.24,https://www.cryst.ehu.es/magndata/index.php?this_label=0.240,"0, 0, 0"
0.241Y2Cu2O5,0.241,https://www.cryst.ehu.es/magndata/index.php?this_label=0.241,"0, 0, 0"
0.242Tm2Cu2O5,0.242,https://www.cryst.ehu.es/magndata/index.php?this_label=0.242,"0, 0, 0"
0.243Li2Fe(SO4)2,0.243,https://www.cryst.ehu.es/magndata/index.php?this_label=0.243,"0, 0, 0"
0.244Li2Co(SO4)2,0.244,https://www.cryst.ehu.es/magndata/index.php?this_label=0.244,"0, 0, 0"
